2023-06-19 09:03:32,719: Key.enter
2023-06-19 09:03:32,784: Key.enter
2023-06-19 09:03:33,515: 'h'
2023-06-19 09:03:33,724: 's'
2023-06-19 09:03:33,936: 'o'
2023-06-19 09:03:34,208: 's'
2023-06-19 09:03:34,616: Key.space
2023-06-19 09:03:34,996: 'k'
2023-06-19 09:03:35,007: 'l'
2023-06-19 09:03:35,192: 'j'
2023-06-19 09:03:35,280: 's'
2023-06-19 09:03:35,403: 'k'
2023-06-19 09:03:35,472: 'd'
2023-06-19 09:03:35,568: 'a'
2023-06-19 09:03:35,632: 'l'
2023-06-19 09:03:35,640: 's'
2023-06-19 09:03:35,687: 'k'
2023-06-19 09:03:35,776: 's'
2023-06-19 09:03:35,955: Key.space
2023-06-19 09:03:36,291: 'i'
2023-06-19 09:03:36,296: 'o'
2023-06-19 09:03:36,496: 's'
2023-06-19 09:03:36,627: 'l'
2023-06-19 09:03:36,671: 'k'
2023-06-19 09:03:36,711: 'a'
2023-06-19 09:03:36,832: 'd'
2023-06-19 09:03:36,912: 'a'
2023-06-19 09:03:36,991: 'd'
2023-06-19 09:03:37,159: Key.space
2023-06-19 09:03:37,444: 'l'
2023-06-19 09:03:37,455: 's'
2023-06-19 09:03:37,511: 'k'
2023-06-19 09:03:37,571: 'j'
2023-06-19 09:03:37,599: 'd'
2023-06-19 09:03:37,603: 'j'
2023-06-19 09:03:37,679: 'a'
2023-06-19 09:03:37,681: 's'
2023-06-19 09:03:37,796: '.'
2023-06-19 09:03:37,844: 'd'
2023-06-19 09:03:37,912: 'a'
2023-06-19 09:03:37,983: ','
2023-06-19 09:03:38,011: 'd'
2023-06-19 09:03:38,099: 'n'
2023-06-19 09:03:38,115: 'k'
2023-06-19 09:03:38,359: Key.space
2023-06-19 09:03:38,600: 'l'
2023-06-19 09:03:38,636: 's'
2023-06-19 09:03:38,647: 'k'
2023-06-19 09:03:38,740: 'd'
2023-06-19 09:03:38,820: 'a'
2023-06-19 09:03:38,828: 's'
2023-06-19 09:03:38,855: 'l'
2023-06-19 09:03:38,911: 'k'
2023-06-19 09:03:38,991: 'a'
2023-06-19 09:03:38,997: 's'
2023-06-19 09:03:39,100: ','
2023-06-19 09:03:39,127: 'd'
2023-06-19 09:03:39,159: 'a'
2023-06-19 09:03:39,164: 's'
2023-06-19 09:03:39,203: 'n'
2023-06-19 09:03:39,208: 'k'
2023-06-19 09:03:39,259: 'l'
2023-06-19 09:03:39,267: 'k'
2023-06-19 09:03:39,287: 'd'
2023-06-19 09:03:39,347: 's'
2023-06-19 09:03:39,359: 'a'
2023-06-19 09:03:39,551: Key.space
2023-06-19 09:03:39,779: 'a'
2023-06-19 09:03:39,784: 's'
2023-06-19 09:03:39,823: 'l'
2023-06-19 09:03:39,852: 'i'
2023-06-19 09:03:39,887: 'o'
2023-06-19 09:03:39,932: 'd'
2023-06-19 09:03:40,007: 'a'
